Sale ID,Date,Medicine ID,Medicine Name,Category,Qty Sold,Unit Price (₹),Total Revenue (₹),Payment Mode,Sold By
SL-0055,2025-04-11,MED012,Acyclovir 400mg,Antiviral,4,437.63,1750.52,Credit Card,Sneha R
SL-0056,2025-04-11,MED006,Cetirizine 10mg,Antihistamine,16,225.83,3613.28,UPI,Rahul K
SL-0057,2025-04-11,MED020,Multivitamin Tab,Vitamin,9,471.12,4240.08,Insurance,Rahul K
SL-0058,2025-04-11,MED001,Amoxicillin 500mg,Antibiotic,27,42.02,1134.54,Insurance,Rahul K
SL-0059,2025-04-11,MED018,Losartan 50mg,Antihypertensive,19,318.43,6050.17,Cash,Priya S
SL-0060,2025-04-11,MED009,Vitamin C 500mg,Vitamin,5,407.46,2037.3,Credit Card,Rahul K
SL-0061,2025-04-12,MED004,Metformin 500mg,Antidiabetic,28,298.38,8354.64,Insurance,Amit V
SL-0062,2025-04-12,MED018,Losartan 50mg,Antihypertensive,19,314.3,5971.7,Cash,Priya S
SL-0063,2025-04-12,MED014,Atorvastatin 10mg,Antihypertensive,21,113.4,2381.4,Cash,Priya S
SL-0064,2025-04-12,MED008,Azithromycin 250mg,Antibiotic,8,95.17,761.36,Cash,Priya S
SL-0065,2025-04-12,MED013,Aspirin 75mg,Analgesic,1,210.17,210.17,Insurance,Amit V
SL-0066,2025-04-12,MED017,Glibenclamide 5mg,Antidiabetic,2,123.42,246.84,Credit Card,Sneha R
SL-0067,2025-04-12,MED015,Pantoprazole 40mg,Antacid,3,346.82,1040.46,Credit Card,Kiran M
SL-0068,2025-04-12,MED005,Amlodipine 5mg,Antihypertensive,22,403.91,8886.02,UPI,Sneha R
SL-0069,2025-04-13,MED018,Losartan 50mg,Antihypertensive,2,91.3,182.6,Credit Card,Kiran M
SL-0070,2025-04-13,MED008,Azithromycin 250mg,Antibiotic,24,413.88,9933.12,Credit Card,Sneha R
SL-0071,2025-04-13,MED005,Amlodipine 5mg,Antihypertensive,4,239.66,958.64,Credit Card,Sneha R
SL-0072,2025-04-13,MED009,Vitamin C 500mg,Vitamin,9,255.23,2297.07,Insurance,Sneha R
SL-0073,2025-04-13,MED020,Multivitamin Tab,Vitamin,3,303.04,909.12,Insurance,Amit V
SL-0074,2025-04-13,MED002,Paracetamol 500mg,Antipyretic,20,132.68,2653.6,Cash,Priya S
SL-0075,2025-04-14,MED009,Vitamin C 500mg,Vitamin,17,329.24,5597.08,Credit Card,Priya S
SL-0076,2025-04-14,MED019,Loratadine 10mg,Antihistamine,19,223.58,4248.02,Insurance,Rahul K
SL-0077,2025-04-14,MED002,Paracetamol 500mg,Antipyretic,16,180.5,2888.0,Credit Card,Amit V
SL-0078,2025-04-14,MED006,Cetirizine 10mg,Antihistamine,22,61.25,1347.5,UPI,Amit V
SL-0079,2025-04-14,MED016,Doxycycline 100mg,Antibiotic,14,349.9,4898.6,Credit Card,Sneha R
SL-0080,2025-04-15,MED015,Pantoprazole 40mg,Antacid,4,485.39,1941.56,Insurance,Kiran M
SL-0081,2025-04-15,MED003,Ibuprofen 400mg,Analgesic,27,494.18,13342.86,Insurance,Sneha R
SL-0082,2025-04-15,MED011,Fluconazole 150mg,Antifungal,2,101.92,203.84,Credit Card,Kiran M
SL-0083,2025-04-15,MED009,Vitamin C 500mg,Vitamin,25,254.26,6356.5,Insurance,Rahul K
SL-0084,2025-04-15,MED018,Losartan 50mg,Antihypertensive,7,140.86,986.02,UPI,Amit V
SL-0085,2025-04-16,MED016,Doxycycline 100mg,Antibiotic,27,457.34,12348.18,Insurance,Rahul K
SL-0086,2025-04-16,MED004,Metformin 500mg,Antidiabetic,21,417.75,8772.75,Insurance,Amit V
SL-0087,2025-04-16,MED001,Amoxicillin 500mg,Antibiotic,17,355.65,6046.05,Insurance,Sneha R
SL-0088,2025-04-16,MED008,Azithromycin 250mg,Antibiotic,16,129.43,2070.88,UPI,Sneha R
SL-0089,2025-04-16,MED006,Cetirizine 10mg,Antihistamine,7,461.72,3232.04,UPI,Rahul K
SL-0090,2025-04-16,MED005,Amlodipine 5mg,Antihypertensive,9,388.61,3497.49,Insurance,Amit V
SL-0091,2025-04-16,MED009,Vitamin C 500mg,Vitamin,30,395.98,11879.4,Credit Card,Rahul K
SL-0092,2025-04-16,MED018,Losartan 50mg,Antihypertensive,10,365.76,3657.6,Insurance,Priya S
SL-0093,2025-04-16,MED014,Atorvastatin 10mg,Antihypertensive,15,273.9,4108.5,Credit Card,Amit V
SL-0094,2025-04-16,MED007,Omeprazole 20mg,Antacid,18,383.81,6908.58,Insurance,Sneha R
SL-0095,2025-04-16,MED002,Paracetamol 500mg,Antipyretic,30,167.67,5030.1,UPI,Priya S
SL-0096,2025-04-16,MED019,Loratadine 10mg,Antihistamine,19,197.66,3755.54,Insurance,Rahul K
SL-0097,2025-04-17,MED016,Doxycycline 100mg,Antibiotic,28,59.18,1657.04,Insurance,Rahul K
SL-0098,2025-04-17,MED013,Aspirin 75mg,Analgesic,17,456.12,7754.04,Cash,Priya S
SL-0099,2025-04-17,MED019,Loratadine 10mg,Antihistamine,14,436.76,6114.64,UPI,Rahul K
SL-0100,2025-04-17,MED005,Amlodipine 5mg,Antihypertensive,16,392.95,6287.2,Credit Card,Amit V
SL-0101,2025-04-17,MED020,Multivitamin Tab,Vitamin,20,349.43,6988.6,Cash,Amit V
SL-0102,2025-04-17,MED001,Amoxicillin 500mg,Antibiotic,28,340.44,9532.32,Insurance,Amit V
SL-0103,2025-04-17,MED003,Ibuprofen 400mg,Analgesic,21,362.17,7605.57,Insurance,Kiran M
SL-0104,2025-04-17,MED009,Vitamin C 500mg,Vitamin,2,312.56,625.12,UPI,Amit V
SL-0105,2025-04-17,MED010,Vitamin D3 1000IU,Vitamin,8,375.92,3007.36,Insurance,Rahul K
SL-0106,2025-04-17,MED006,Cetirizine 10mg,Antihistamine,25,320.54,8013.5,Cash,Sneha R
SL-0107,2025-04-18,MED010,Vitamin D3 1000IU,Vitamin,12,221.04,2652.48,UPI,Kiran M
SL-0108,2025-04-18,MED001,Amoxicillin 500mg,Antibiotic,14,287.3,4022.2,UPI,Priya S
SL-0109,2025-04-18,MED002,Paracetamol 500mg,Antipyretic,6,48.69,292.14,Insurance,Kiran M
SL-0110,2025-04-18,MED011,Fluconazole 150mg,Antifungal,22,128.01,2816.22,UPI,Priya S
SL-0111,2025-04-18,MED018,Losartan 50mg,Antihypertensive,15,322.57,4838.55,Insurance,Amit V
SL-0112,2025-04-18,MED005,Amlodipine 5mg,Antihypertensive,22,14.6,321.2,Insurance,Amit V
SL-0113,2025-04-18,MED006,Cetirizine 10mg,Antihistamine,22,277.83,6112.26,Cash,Sneha R
SL-0114,2025-04-19,MED019,Loratadine 10mg,Antihistamine,4,126.23,504.92,Credit Card,Kiran M
SL-0115,2025-04-19,MED010,Vitamin D3 1000IU,Vitamin,10,496.42,4964.2,Credit Card,Rahul K
SL-0116,2025-04-19,MED014,Atorvastatin 10mg,Antihypertensive,27,332.53,8978.31,Credit Card,Rahul K
SL-0117,2025-04-19,MED009,Vitamin C 500mg,Vitamin,19,433.88,8243.72,Cash,Kiran M
SL-0118,2025-04-19,MED015,Pantoprazole 40mg,Antacid,24,253.4,6081.6,Credit Card,Priya S
SL-0119,2025-04-19,MED018,Losartan 50mg,Antihypertensive,20,402.95,8059.0,UPI,Priya S
SL-0120,2025-04-19,MED005,Amlodipine 5mg,Antihypertensive,20,132.81,2656.2,UPI,Rahul K
