Medicine ID,Medicine Name,Category,Batch ID,Manufacture Date,Expiry Date,Shelf Life (days),Stock Quantity,Unit,Reorder Level,Storage Condition,Status
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-04,2020-09-17,2025-09-16,1825,333,Strips,54,Room Temp,Active
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-05,2024-08-27,2029-08-26,1825,434,Bottles,35,Cool & Dry,Active
MED010,Vitamin D3 1000IU,Vitamin,BCH-010-06,2023-02-16,2028-02-15,1825,109,Strips,75,Room Temp,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-01,2023-11-21,2025-11-20,730,194,Strips,20,Cool & Dry,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-02,2024-09-13,2026-09-13,730,146,Strips,47,Refrigerate,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-03,2024-12-26,2026-12-26,730,338,Strips,65,Room Temp,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-04,2024-04-04,2026-04-04,730,111,Strips,23,Refrigerate,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-05,2023-08-07,2025-08-06,730,382,Bottles,40,Refrigerate,Active
MED011,Fluconazole 150mg,Antifungal,BCH-011-06,2024-10-06,2026-10-06,730,257,Strips,78,Room Temp,Active
MED012,Acyclovir 400mg,Antiviral,BCH-012-01,2023-08-03,2025-08-02,730,491,Bottles,52,Room Temp,Near Expiry
MED012,Acyclovir 400mg,Antiviral,BCH-012-02,2023-08-15,2025-08-14,730,304,Strips,24,Room Temp,Active
MED012,Acyclovir 400mg,Antiviral,BCH-012-03,2024-07-23,2026-07-23,730,61,Strips,80,Room Temp,Low Stock
MED012,Acyclovir 400mg,Antiviral,BCH-012-04,2025-01-18,2027-01-18,730,304,Strips,22,Cool & Dry,Active
MED012,Acyclovir 400mg,Antiviral,BCH-012-05,2025-01-23,2027-01-23,730,289,Strips,53,Cool & Dry,Active
MED012,Acyclovir 400mg,Antiviral,BCH-012-06,2024-01-01,2025-12-31,730,342,Strips,65,Cool & Dry,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-01,2024-08-24,2027-08-24,1095,67,Strips,62,Cool & Dry,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-02,2024-03-14,2027-03-14,1095,475,Strips,68,Room Temp,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-03,2024-12-30,2027-12-30,1095,318,Strips,56,Room Temp,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-04,2023-08-16,2026-08-15,1095,259,Bottles,36,Cool & Dry,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-05,2022-10-24,2025-10-23,1095,450,Strips,35,Room Temp,Active
MED013,Aspirin 75mg,Analgesic,BCH-013-06,2024-11-19,2027-11-19,1095,426,Strips,54,Refrigerate,Active
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-01,2022-06-22,2025-06-21,1095,341,Strips,72,Refrigerate,Near Expiry
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-02,2023-01-04,2026-01-03,1095,480,Bottles,76,Room Temp,Active
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-03,2023-01-11,2026-01-10,1095,380,Bottles,55,Cool & Dry,Active
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-04,2023-08-11,2026-08-10,1095,367,Bottles,41,Refrigerate,Active
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-05,2023-11-28,2026-11-27,1095,258,Bottles,51,Room Temp,Active
MED014,Atorvastatin 10mg,Antihypertensive,BCH-014-06,2022-12-12,2025-12-11,1095,324,Strips,47,Room Temp,Active
MED015,Pantoprazole 40mg,Antacid,BCH-015-01,2023-06-09,2025-06-08,730,170,Bottles,69,Cool & Dry,Near Expiry
MED015,Pantoprazole 40mg,Antacid,BCH-015-02,2023-11-18,2025-11-17,730,379,Strips,48,Cool & Dry,Active
MED015,Pantoprazole 40mg,Antacid,BCH-015-03,2024-12-31,2026-12-31,730,4,Bottles,27,Refrigerate,Low Stock
MED015,Pantoprazole 40mg,Antacid,BCH-015-04,2023-11-05,2025-11-04,730,279,Strips,22,Refrigerate,Active
MED015,Pantoprazole 40mg,Antacid,BCH-015-05,2024-12-22,2026-12-22,730,75,Bottles,47,Cool & Dry,Active
MED015,Pantoprazole 40mg,Antacid,BCH-015-06,2024-06-13,2026-06-13,730,460,Strips,79,Room Temp,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-01,2024-12-05,2025-12-05,365,107,Bottles,63,Room Temp,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-02,2024-12-03,2025-12-03,365,399,Strips,55,Cool & Dry,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-03,2024-08-23,2025-08-23,365,473,Bottles,79,Room Temp,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-04,2024-09-03,2025-09-03,365,451,Bottles,46,Refrigerate,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-05,2024-11-22,2025-11-22,365,400,Strips,79,Refrigerate,Active
MED016,Doxycycline 100mg,Antibiotic,BCH-016-06,2024-10-10,2025-10-10,365,136,Strips,30,Room Temp,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-01,2024-07-01,2026-07-01,730,446,Strips,22,Room Temp,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-02,2023-12-27,2025-12-26,730,418,Strips,78,Cool & Dry,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-03,2024-01-25,2026-01-24,730,114,Strips,21,Cool & Dry,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-04,2024-05-07,2026-05-07,730,142,Bottles,75,Cool & Dry,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-05,2024-05-30,2026-05-30,730,328,Strips,52,Refrigerate,Active
MED017,Glibenclamide 5mg,Antidiabetic,BCH-017-06,2024-05-10,2026-05-10,730,480,Bottles,21,Cool & Dry,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-01,2023-06-06,2026-06-05,1095,297,Bottles,36,Refrigerate,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-02,2024-11-11,2027-11-11,1095,176,Strips,66,Cool & Dry,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-03,2023-01-28,2026-01-27,1095,197,Strips,77,Cool & Dry,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-04,2022-09-04,2025-09-03,1095,362,Bottles,47,Refrigerate,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-05,2023-07-14,2026-07-13,1095,186,Bottles,47,Refrigerate,Active
MED018,Losartan 50mg,Antihypertensive,BCH-018-06,2024-04-12,2027-04-12,1095,319,Strips,40,Room Temp,Active
MED019,Loratadine 10mg,Antihistamine,BCH-019-01,2024-04-08,2026-04-08,730,259,Strips,39,Cool & Dry,Active
MED019,Loratadine 10mg,Antihistamine,BCH-019-02,2024-07-22,2026-07-22,730,356,Strips,38,Room Temp,Active
MED019,Loratadine 10mg,Antihistamine,BCH-019-03,2024-08-09,2026-08-09,730,340,Strips,80,Refrigerate,Active
MED019,Loratadine 10mg,Antihistamine,BCH-019-04,2023-12-01,2025-11-30,730,315,Strips,56,Refrigerate,Active
MED019,Loratadine 10mg,Antihistamine,BCH-019-05,2023-06-06,2025-06-05,730,155,Bottles,38,Refrigerate,Near Expiry
MED019,Loratadine 10mg,Antihistamine,BCH-019-06,2025-02-16,2027-02-16,730,335,Strips,40,Cool & Dry,Active
MED020,Multivitamin Tab,Vitamin,BCH-020-01,2023-08-17,2026-08-16,1095,261,Strips,50,Refrigerate,Active
MED020,Multivitamin Tab,Vitamin,BCH-020-02,2023-05-19,2026-05-18,1095,337,Bottles,25,Refrigerate,Active
MED020,Multivitamin Tab,Vitamin,BCH-020-03,2024-04-22,2027-04-22,1095,47,Strips,72,Room Temp,Low Stock
MED020,Multivitamin Tab,Vitamin,BCH-020-04,2024-03-02,2027-03-02,1095,115,Bottles,71,Room Temp,Active
MED020,Multivitamin Tab,Vitamin,BCH-020-05,2022-09-08,2025-09-07,1095,125,Strips,50,Room Temp,Active
MED020,Multivitamin Tab,Vitamin,BCH-020-06,2024-12-24,2027-12-24,1095,212,Strips,76,Room Temp,Active
